[°C];[J/(mol K)];[kJ/(kg K)];[kWh/(kg K)];[kcal/(kg K)]
0.01;76.026;42.199;0.001172;10.079
10;75.586;41.955;0.001165;10.021
20;75.386;41.844;0.001162;0.9994
25;75.336;41.816;0.001162;0.9988
30;75.309;41.801;0.001161;0.9984
40;75.300;41.796;0.001161;0.9983
50;75.334;41.815;0.001162;0.9987
60;75.399;41.851;0.001163;0.9996
70;75.491;41.902;0.001164;10.008
80;75.611;41.969;0.001166;10.024
90;75.763;42.053;0.001168;10.044
100;75.950;42.157;0.001171;10.069
110;76.177;42.283;0.001175;10.099
120;76.451;42.435;0.001179;10.135
140;77.155;42.826;0.001190;10.229
160;78.107;43.354;0.001204;10.355
180;79.360;44.050;0.001224;10.521
200;80.996;44.958;0.001249;10.738
220;83.137;46.146;0.001282;11.022
240;85.971;47.719;0.001326;11.397
260;89.821;49.856;0.001385;11.908
280;95.285;52.889;0.001469;12.632
300;103.60;57.504;0.001597;13.735
320;117.78;65.373;0.001816;15.614
340;147.88;82.080;0.002280;19.604
360;270.31;15.004;0.004168;35.836
